Estimator,MSE,n_reco
Direct,0.15117410838247491,4
doubly robust estimator,0.10319668292406718,4
cmebis,1.1380561910549177e-05,4
dr_bis,1.148161751272447e-05,4
ips_estimator,0.012789902813239423,4
Direct,0.16736429482917145,4
doubly robust estimator,0.10575281479391138,4
cmebis,0.00012729759002286098,4
dr_bis,0.000127320850301777,4
ips_estimator,0.07302558079412083,4
Direct,0.20214617412905292,4
doubly robust estimator,0.1519136791687586,4
cmebis,0.0019028740712328555,4
dr_bis,0.0018998150010450315,4
ips_estimator,0.031278397125799405,4
Direct,0.1623256695295508,4
doubly robust estimator,0.10990560402982871,4
cmebis,0.03429026527304489,4
dr_bis,0.029108091679412522,4
ips_estimator,0.036671623138426215,4
Direct,0.17018369364521088,4
doubly robust estimator,0.14734589739551662,4
cmebis,0.04113281208541555,4
dr_bis,0.03559875401949655,4
ips_estimator,0.01200407549377732,4
Direct,0.16160523773525723,4
doubly robust estimator,0.09741575468660633,4
cmebis,0.001995434527262966,4
dr_bis,0.001996278957368575,4
ips_estimator,0.052625647766508826,4
Direct,0.17081823363283208,4
doubly robust estimator,0.13032775058698798,4
cmebis,0.02425181169612688,4
dr_bis,0.02169624097237435,4
ips_estimator,0.02412048521767781,4
Direct,0.15681647603452564,4
doubly robust estimator,0.0715988031380199,4
cmebis,0.000891121061182167,4
dr_bis,0.000890912092763382,4
ips_estimator,0.047887881731554297,4
Direct,0.22262461121352425,4
doubly robust estimator,0.15306569813716392,4
cmebis,0.04465172207175652,4
dr_bis,0.039721450320221056,4
ips_estimator,0.06285870956071525,4
Direct,0.1907085571729952,4
doubly robust estimator,0.12963776500172194,4
cmebis,0.014112134683615038,4
dr_bis,0.014114291348553111,4
ips_estimator,0.023601530682889185,4
Direct,0.17924764753788516,4
doubly robust estimator,0.12254307213920204,4
cmebis,0.0026903355505630104,4
dr_bis,0.0026891933678675475,4
ips_estimator,0.0021882448506701795,4
Direct,0.13284436172114292,4
doubly robust estimator,0.08112099934611942,4
cmebis,0.004604556075825417,4
dr_bis,0.004605710960586157,4
ips_estimator,0.017382201243348525,4
Direct,0.14686905052533936,4
