Estimator,MSE,context_dim
Direct,0.272053899790839,15
doubly robust estimator,0.2605828605617442,15
cmebis,0.039915434014083026,15
dr_bis,0.03991483552541385,15
ips_estimator,0.03161796837799668,15
Direct,0.21486289092950644,15
doubly robust estimator,0.1561806533626755,15
cmebis,0.06120933159382175,15
dr_bis,0.057523751848891976,15
ips_estimator,0.02497644305874165,15
Direct,0.2638376400641345,15
doubly robust estimator,0.25985375855720716,15
cmebis,0.07680837365937394,15
dr_bis,0.0720830873063186,15
ips_estimator,0.08337033987449981,15
Direct,0.29787513823007283,15
doubly robust estimator,0.23363771494660562,15
cmebis,0.09140105949744723,15
dr_bis,0.08887121245252383,15
ips_estimator,0.02052475942917394,15
Direct,0.23997155840082607,15
doubly robust estimator,0.19053977818395845,15
cmebis,0.04808189847778142,15
dr_bis,0.04504577796231337,15
ips_estimator,0.012225360229896256,15
Direct,0.27947603664712095,15
doubly robust estimator,0.1648309318634222,15
cmebis,0.015922636663405505,15
dr_bis,0.015921899983081723,15
ips_estimator,0.016794107979457695,15
Direct,0.2608204935999741,15
doubly robust estimator,0.1990063243088841,15
cmebis,0.035971338636081804,15
dr_bis,0.03597116036669312,15
ips_estimator,0.08413725324296065,15
Direct,0.21656766947630346,15
doubly robust estimator,0.2533879342054488,15
cmebis,0.026518339230700533,15
dr_bis,0.026518108465781128,15
ips_estimator,0.07507893744276967,15
Direct,0.2247838223744962,15
doubly robust estimator,0.2578337334917091,15
cmebis,0.0714759852221701,15
dr_bis,0.07233587434173852,15
ips_estimator,0.04608923794106723,15
Direct,0.27005814871394224,15
doubly robust estimator,0.19315324730049277,15
cmebis,0.009051934548603771,15
dr_bis,0.009051802571389843,15
ips_estimator,0.03557857328222798,15
Direct,0.23317257735779395,15
doubly robust estimator,0.2173812652730658,15
cmebis,0.03232254872070061,15
dr_bis,0.032322058060654996,15
ips_estimator,0.019861890514773217,15
Direct,0.27535445241939255,15
doubly robust estimator,0.22956033650308996,15
cmebis,0.010465692613635008,15
dr_bis,0.010464981472159008,15
ips_estimator,0.019327434907547503,15
Direct,0.28434337225460765,15
doubly robust estimator,0.2170504954210647,15
cmebis,0.07574155756484058,15
dr_bis,0.06942844831097211,15
ips_estimator,0.026777347835127027,15
Direct,0.24056888591774533,15
doubly robust estimator,0.22961410909742835,15
cmebis,0.08891491798405038,15
dr_bis,0.08518093822877061,15
ips_estimator,0.04605068703566456,15
Direct,0.29115918683961156,15
doubly robust estimator,0.24175552652724694,15
cmebis,0.09630801278940408,15
dr_bis,0.09021294009352812,15
