Estimator,MSE,n_reco
dr_bis,0.0283537397237192,4
ips_estimator,0.01459544477990576,4
Direct,0.1051867181825975,4
doubly robust estimator,0.08607306150477007,4
cmebis,0.012711115706665119,4
dr_bis,0.012710706764803329,4
ips_estimator,0.03253315005819185,4
Direct,0.13880027280166796,4
doubly robust estimator,0.11273057783250683,4
cmebis,0.024216805033465783,4
dr_bis,0.024216335529465064,4
ips_estimator,0.0022163409573454076,4
Direct,0.09074140750207856,4
doubly robust estimator,0.07524399604725679,4
cmebis,7.052530455773318e-05,4
dr_bis,7.052531171593264e-05,4
ips_estimator,0.2394515829521823,4
Direct,0.14818744841498646,4
doubly robust estimator,0.10284280609008065,4
cmebis,0.018370795884236183,4
dr_bis,0.01837079836963439,4
ips_estimator,0.004001957027079266,4
Direct,0.13841542543462887,4
doubly robust estimator,0.08188056022629918,4
cmebis,0.02581685393744579,4
dr_bis,0.02581071418913271,4
ips_estimator,0.20519173615400874,4
Direct,0.06673737949073308,4
doubly robust estimator,0.12469915654350357,4
cmebis,0.02291866487215256,4
dr_bis,0.022924148862744843,4
ips_estimator,0.0027912447112080716,4
Direct,0.10520751951090977,4
doubly robust estimator,0.07248462054506136,4
cmebis,0.001229439838950218,4
dr_bis,0.0012294395768429713,4
ips_estimator,0.04313742902458507,4
Direct,0.13106966566238876,4
doubly robust estimator,0.08796578689589687,4
cmebis,0.005839528064028947,4
dr_bis,0.005839528071635216,4
ips_estimator,0.006446573011383232,4
Direct,0.12093894050643654,4
doubly robust estimator,0.0939004610333384,4
cmebis,0.01425280009863319,4
dr_bis,0.014251363395004539,4
ips_estimator,0.12340298892464394,4
Direct,0.13526214889738314,4
doubly robust estimator,0.12461628557044596,4
cmebis,0.0062864474185492705,4
dr_bis,0.006286447875231315,4
ips_estimator,0.010431953175637311,4
Direct,0.1213704448353228,4
doubly robust estimator,0.12908651836122545,4
cmebis,0.029361002863202916,4
dr_bis,0.029359580161734632,4
ips_estimator,0.013411610980558854,4
Direct,0.19127953910503165,4
doubly robust estimator,0.09688708009685837,4
cmebis,0.007440367980234103,4
dr_bis,0.007440368058459683,4
ips_estimator,0.023772840049983965,4
Direct,0.09178354308524993,4
doubly robust estimator,0.12038638274619722,4
cmebis,3.445040990059413e-05,4
dr_bis,3.445046391534237e-05,4
