Estimator,MSE,context_dim
doubly robust estimator,0.44224436402605705,25
cmebis,0.2676818260377042,25
dr_bis,0.2676818277478703,25
ips_estimator,0.6125050979778651,25
Direct,0.5071640205051288,25
doubly robust estimator,0.38443568037717635,25
cmebis,0.26062772130376916,25
dr_bis,0.2606277156246517,25
ips_estimator,0.09844906681556612,25
Direct,0.4540502924923164,25
doubly robust estimator,0.4274896208444947,25
cmebis,0.14799843091033735,25
dr_bis,0.14799843091004683,25
ips_estimator,0.273977117006974,25
Direct,0.4838615747159933,25
doubly robust estimator,0.37814822408757653,25
cmebis,0.18477841229192662,25
dr_bis,0.18477841232446143,25
ips_estimator,0.5259645232008225,25
Direct,0.47920550132001,25
doubly robust estimator,0.4554794682257805,25
cmebis,0.15634333282205773,25
dr_bis,0.15634333282468074,25
ips_estimator,0.001039949698322367,30
Direct,0.26542024188777696,30
doubly robust estimator,0.28897469234109574,30
cmebis,0.19235524715529687,30
dr_bis,0.1923552400520562,30
ips_estimator,0.6623164087154813,30
Direct,0.37109513710919023,30
doubly robust estimator,0.3763217672732126,30
cmebis,0.2419704144230555,30
dr_bis,0.24197042477368963,30
ips_estimator,0.22499286879118108,30
Direct,0.25122045809935506,30
doubly robust estimator,0.24475747423240082,30
cmebis,0.203447087220434,30
dr_bis,0.20344708482558602,30
ips_estimator,0.27500579500457983,30
Direct,0.31961577725121487,30
doubly robust estimator,0.3048908465377448,30
cmebis,0.12958901522049857,30
dr_bis,0.12958901522150412,30
ips_estimator,0.00011015411061185135,30
Direct,0.3245603890672963,30
doubly robust estimator,0.3394233303002145,30
cmebis,0.24608447300404826,30
dr_bis,0.24608446949733884,30
ips_estimator,0.0024723526064572145,30
Direct,0.30034100923305734,30
doubly robust estimator,0.31872203846640007,30
cmebis,0.20058896504681625,30
dr_bis,0.20058889086484158,30
ips_estimator,0.0027747457262748292,30
Direct,0.2675540576630446,30
doubly robust estimator,0.2978704891771457,30
cmebis,0.19493888107757867,30
dr_bis,0.19493884944895437,30
ips_estimator,0.04451064585447961,30
Direct,0.3160009194775638,30
doubly robust estimator,0.3587263592325765,30
cmebis,0.2363973229043178,30
dr_bis,0.23639731856101112,30
ips_estimator,0.0006509025808452089,30
Direct,0.3118961291820397,30
doubly robust estimator,0.2756080083457563,30
cmebis,0.205283795200623,30
dr_bis,0.20528375895840148,30
ips_estimator,0.0020732177182538705,30
Direct,0.41025438285840077,30
doubly robust estimator,0.33750660400038485,30
cmebis,0.23918731326617754,30
dr_bis,0.23918729708643655,30
ips_estimator,0.005938930741557141,30
Direct,0.32500640072621473,30
doubly robust estimator,0.32760444891054596,30
cmebis,0.11677500920266104,30
dr_bis,0.11677500920160656,30
ips_estimator,0.0034341532046158205,30
Direct,0.3555952772115328,30
doubly robust estimator,0.27019603510955786,30
cmebis,0.2072847229457889,30
dr_bis,0.207284714459488,30
ips_estimator,0.23817788309078056,30
Direct,0.33558583121927454,30
doubly robust estimator,0.274437537189586,30
cmebis,0.20233267966650798,30
dr_bis,0.20233272378998338,30
ips_estimator,0.012863947229047585,30
Direct,0.2438770196037827,30
doubly robust estimator,0.2693422390490897,30
cmebis,0.18419374528528798,30
dr_bis,0.18419374321490925,30
ips_estimator,0.000786628426264932,30
Direct,0.27939903811440925,30
doubly robust estimator,0.32081360942845605,30
cmebis,0.200824270934737,30
dr_bis,0.20082426777652115,30
ips_estimator,0.00019646702101861093,30
Direct,0.37605258913554945,30
doubly robust estimator,0.34904348831131804,30
cmebis,0.21565028981508805,30
dr_bis,0.21565028906229547,30
ips_estimator,1.8417519890101537e-05,30
Direct,0.31060631181219733,30
doubly robust estimator,0.3283602304390179,30
cmebis,0.1926008303141657,30
dr_bis,0.19260078228174887,30
ips_estimator,0.19549324731454792,30
Direct,0.33355459493945966,30
doubly robust estimator,0.2845033934380884,30
cmebis,0.19317350482288717,30
dr_bis,0.19317350453364654,30
ips_estimator,0.18825533793564542,30
Direct,0.35297387095811383,30
doubly robust estimator,0.3753007042287695,30
cmebis,0.11645370312639329,30
dr_bis,0.11645370312649118,30
ips_estimator,0.04894881775444323,30
Direct,0.37867045411682354,30
doubly robust estimator,0.3526731650397748,30
cmebis,0.21709797273746553,30
dr_bis,0.21709797095289635,30
ips_estimator,0.02080266541913779,30
Direct,0.3379206128022815,30
doubly robust estimator,0.29397778446952383,30
cmebis,0.2031377344862271,30
dr_bis,0.20313773196801493,30
ips_estimator,0.0012137557402921702,30
Direct,0.3476194788023677,30
doubly robust estimator,0.27667021012143167,30
cmebis,0.21042959856002985,30
dr_bis,0.21042959667237307,30
ips_estimator,0.0017546826830934451,30
Direct,0.3676291221378603,30
doubly robust estimator,0.31646684523796653,30
cmebis,0.22302380710765704,30
dr_bis,0.22302377316448047,30
ips_estimator,0.0031698748672658547,30
Direct,0.36661269920086853,30
doubly robust estimator,0.3009128012728281,30
cmebis,0.2208690491733703,30
dr_bis,0.22086902946232978,30
ips_estimator,0.002069137215045933,30
Direct,0.4060136842509759,30
doubly robust estimator,0.30814323431941665,30
cmebis,0.2104104958130928,30
dr_bis,0.21041049454111946,30
ips_estimator,0.00031467579532301116,30
Direct,0.4247368377842684,30
doubly robust estimator,0.3544082774368281,30
cmebis,0.11229268448675184,30
dr_bis,0.11229268448472908,30
ips_estimator,0.28970223282065916,30
Direct,0.3332823541687597,30
doubly robust estimator,0.2792940379504768,30
cmebis,0.13929913332019028,30
dr_bis,0.13929913332039762,30
ips_estimator,0.08492234349033796,30
Direct,0.33499085453458527,30
doubly robust estimator,0.2841280325535149,30
cmebis,0.20862971487854684,30
dr_bis,0.20862971168182584,30
ips_estimator,0.011024922504707888,30
Direct,0.3623777750411025,30
doubly robust estimator,0.3451173889199476,30
cmebis,0.24750621041527232,30
dr_bis,0.24750620861350803,30
ips_estimator,0.0019858545916452367,30
Direct,0.33040549120104085,30
doubly robust estimator,0.2808644929226978,30
cmebis,0.21829226244746214,30
dr_bis,0.21829185076407706,30
