ips_estimator,slate_estimator,Direct,doubly robust estimator,cmebis,dr_bis,actual_value,null_reward,ips_estimator_square_error,slate_estimator_square_error,Direct_square_error,doubly robust estimator_square_error,cmebis_square_error,dr_bis_square_error,context_dim
0.980641766469758,1.4233027063975285387,0.33351043,0.33515469861066854,0.41753336719340606,0.41754207261674897,0.93764,0.272,0.0018491519195195992,0.23586826438537189521,0.36497253895891163,0.3629885383901935,0.2705109094894132,0.27050185406835353,30
0.3026420235161601,1.405248542219626362,0.24057226,0.348266970354159,0.47783905893276674,0.4778390558399227,0.93716,0.282,0.4026130624811468,0.21910688335729502918,0.4852344811482247,0.34679500036545735,0.21097572690288877,0.21097572974410483,30
0.9348429434803049,0.7220932541867294274,0.3340631,0.2893869245175034,0.3873521724278018,0.3873547926526738,0.93785,0.281,9.04238891264031e-06,0.046550973363932240945,0.36455860523225414,0.42050436026421795,0.3030478581617096,0.3030449733123756,30
0.23284251379881896,1.0319335630806849569,0.31158856,0.29623763143081827,0.3875310554447876,0.3875309139991036,0.93785,0.285,0.49703555559970847,0.008851716841957239096,0.3922033967740174,0.41166643150095544,0.3028509407363629,0.30285109641686203,30
0.942749772053353,1.0661362262224978181,0.31422365,0.35828729543628307,0.5107064973037558,0.510706497309148,0.93734,0.287,2.926563366923939e-05,0.016588467889156861823,0.3882739892294452,0.3353020346625551,0.18201614562286614,0.1820161456182652,30
0.9851974311530558,1.1853415386231920259,0.29151756,0.2944448805720466,0.43388484246950615,0.43388512835460735,0.93706,0.294,0.0023172122780151867,0.061643722421099625408,0.41672504737519067,0.4129541917174029,0.25318523915583735,0.25318495145535735,30
0.47944827167041587,0.8850713781103922706,0.36173767,0.33683353185766374,0.4892668079359553,0.48926680792834654,0.93717,0.306,0.20950918058502158,0.002714266402796305759,0.33112236811912404,0.36040387498161425,0.20061726946116049,0.20061726946797645,30
0.9773081304678719,0.84390856670437575104,0.272635,0.32174256794049916,0.41024602196040993,0.4102475544365932,0.93619,0.308,0.0016907006531729385,0.008515862931094740282,0.4403052209516417,0.37754564676451485,0.27661706803610875,0.2766154560452171,30
0.5556489433912158,0.9272649094714962015,0.25397298,0.32032254412001876,0.41720084646557165,0.4172008982106995,0.93718,0.267,0.14556594715701526,9.830902018842628553e-05,0.4667718357301946,0.3805131208747231,0.2703783201103806,0.27037826629760775,30
0.7488075017354126,2.0688898238284609832,0.3109954,0.3222772628112269,0.5181280061502472,0.518128006150811,0.93585,0.292,0.03498489615705819,1.2837792423812299791,0.39044327120122746,0.37647150382132316,0.17449166414581285,0.17449166414534187,30
0.8702484854708635,0.8711772445274595933,0.29806966,0.3463242240478162,0.4493523671592735,0.4493524351226347,0.93716,0.278,0.00447715077658284,0.00435372401974905808,0.4084364679279493,0.3490869141450192,0.23795628665767302,0.23795622035158498,30
0.2818270327906008,1.3575368175526361103,0.26423976,0.2862446228247227,0.396936630881515,0.3969363706085785,0.93628,0.276,0.42830868628918706,0.1774573063345748769,0.4516380865272351,0.4225459915794051,0.29089126981207836,0.29089155056511107,30
0.46409400733810063,0.73387560900778869843,0.2975767,0.3223765425189357,0.4059345091925063,0.405934581553488,0.93922,0.277,0.2257447089029553,0.042166318911962180627,0.41170612997789474,0.3804958510371937,0.2843934147057895,0.28439333752767154,30
0.9916741588088879,0.9872577234519669398,0.33105254,0.34629069127881035,0.5018593780899007,0.5018606880571349,0.93665,0.297,0.003027658052625715,0.0025611416729907658316,0.36674828145970745,0.3485241133937608,0.18904288490097093,0.18904174577975003,30
0.9710351290596051,0.8445085452591190034,0.31991214,0.31917871248189594,0.46624428898174347,0.46624428900501635,0.93788,0.277,0.0010992625829590672,0.00871822856042839614,0.3818842814298069,0.3827912831765598,0.22244024390769643,0.2224402438857438,30
0.8242182651866206,1.5387910478884707643,0.34315407,0.26526393556398137,0.38282757621829844,0.38282789723162247,0.93599,0.271,0.012492920703192415,0.36336910333543837037,0.3514544366246898,0.4498734535138303,0.30598866708404676,0.30598831193913306,30
